GEO.id,Geography,Families Median income (dollars),Families Mean income (dollars)
0500000US22097,"St. Landry Parish, Louisiana",36641,53647
0500000US22103,"St. Tammany Parish, Louisiana",72008,94056
0500000US22105,"Tangipahoa Parish, Louisiana",54847,67758
0500000US22109,"Terrebonne Parish, Louisiana",53262,70536
0500000US23001,"Androscoggin County, Maine",63114,70787
0500000US23003,"Aroostook County, Maine",43831,55750
0500000US23005,"Cumberland County, Maine",80646,102691
0500000US23011,"Kennebec County, Maine",60123,70599
0500000US23019,"Penobscot County, Maine",54636,68324
0500000US23031,"York County, Maine",70705,85060
0500000US24001,"Allegany County, Maryland",53162,67420
0500000US24003,"Anne Arundel County, Maryland",100626,123066
0500000US24005,"Baltimore County, Maryland",84474,107281
0500000US24009,"Calvert County, Maryland",100751,115459
0500000US24013,"Carroll County, Maryland",101333,119779
0500000US24015,"Cecil County, Maryland",72809,84639
0500000US24017,"Charles County, Maryland",99740,111701
0500000US24021,"Frederick County, Maryland",98717,111238
0500000US24025,"Harford County, Maryland",94672,109050
0500000US24027,"Howard County, Maryland",127223,146130
0500000US24031,"Montgomery County, Maryland",115150,152641
0500000US24033,"Prince George's County, Maryland",83167,99201
0500000US24037,"St. Mary's County, Maryland",96595,113523
0500000US24043,"Washington County, Maryland",65538,86844
0500000US24045,"Wicomico County, Maryland",66668,84798
0500000US24510,"Baltimore city, Maryland",50408,72444
0500000US25001,"Barnstable County, Massachusetts",87405,110011
0500000US25003,"Berkshire County, Massachusetts",66938,85890
0500000US25005,"Bristol County, Massachusetts",75279,86968
0500000US25009,"Essex County, Massachusetts",89752,117934
0500000US25011,"Franklin County, Massachusetts",73750,86251
0500000US25013,"Hampden County, Massachusetts",60564,79241
0500000US25015,"Hampshire County, Massachusetts",81236,96783
0500000US25017,"Middlesex County, Massachusetts",108728,139941
0500000US25021,"Norfolk County, Massachusetts",114285,150828
0500000US25023,"Plymouth County, Massachusetts",92236,113159
0500000US25025,"Suffolk County, Massachusetts",60977,95809
0500000US25027,"Worcester County, Massachusetts",83178,103041
0500000US26005,"Allegan County, Michigan",62691,75175
0500000US26017,"Bay County, Michigan",63858,76727
0500000US26021,"Berrien County, Michigan",59131,72412
0500000US26025,"Calhoun County, Michigan",54022,67834
0500000US26037,"Clinton County, Michigan",73770,90074
0500000US26045,"Eaton County, Michigan",67650,79963
0500000US26049,"Genesee County, Michigan",52091,66945
0500000US26055,"Grand Traverse County, Michigan",68741,87565
0500000US26065,"Ingham County, Michigan",61624,80033
0500000US26073,"Isabella County, Michigan",58757,69881
0500000US26075,"Jackson County, Michigan",58797,70613
0500000US26077,"Kalamazoo County, Michigan",62253,78961
0500000US26081,"Kent County, Michigan",64259,82443
0500000US26087,"Lapeer County, Michigan",59668,70346
0500000US26091,"Lenawee County, Michigan",58340,71074
0500000US26093,"Livingston County, Michigan",82674,97176
0500000US26099,"Macomb County, Michigan",66897,80325
0500000US26103,"Marquette County, Michigan",58750,68737
0500000US26111,"Midland County, Michigan",63892,84911
0500000US26115,"Monroe County, Michigan",69423,81874
0500000US26121,"Muskegon County, Michigan",51896,64423
0500000US26125,"Oakland County, Michigan",89478,113723
0500000US26139,"Ottawa County, Michigan",70676,87060
0500000US26145,"Saginaw County, Michigan",55566,68488
